review,rating,category
Berbat kesinlikle tavsiye etmiyorum. Ne bir müşteri hizmetleri yardım ediyor ne de bir baskasi urunlerin hangi kargo ile gönderileceği yazmiyor bile.,1,ratings
Son derece kötü bir uygulama . Son güncelleme sonrası sürekli hata veriyor. Web üzerinden direkt bağlantı daha iyi ve sorunsuz. İyi çalışan bir sistem güncelleme yapacağım diye neden bozulur anlamak mümkün değil.,1,ratings
Çok kötü bir uygulama kampanya diyor yapıyorsunuz kampanyanin para ödülünü vermiyor indirmeye gerek yok arkadaşlar fiyatları da arttırıp indirim yapmış gibi gösteriyorlar ilk fiyatına geri indiriyorlar Trendyol büyük dolandırıcıdır.,1,ratings
Trendyol'dan 18 Nisan tarihinde yaptığım alışverişi aynı gün iade ettim. Onlar da bana aynı gün iadenizi gerçekleştirdik diye mail attılar. Referans numarası verdiler ancak banka Trendyol tarafından kendilerine herhangi bir iade yapılmadığını söyledi. Üzerinden iki hafta geçti hala iade edilmemiş. Lütfen biran önce para iademin gerçekleştirilmesini istiyorum.,1,ratings
Rezalet. Paylaş Kazan yaptı. Kardeşim annem babam. Beş kuruş etmezsiniz. O kadar emek ettim.,1,ratings
"5 para etmez bir şirketin saçma uygulaması; internet sitesinden ödeme yapabiliyorken uygulamada hata veriyor, satıcıya soru soramıyorum onda da hata veriyor ürünlere yorum yapılamıyor bu da cabası. Gına geldi artık... Kısaca kullanmayın, kullandırmayın.",1,ratings
İndirdim açmıyor bir yıldız bile çok durmadan atıyor hem mesaj reklem yapıyorlar hemde sistemi atıyor saçma sapan uygulama,1,ratings
Rezil bir uygulama kart bilgilerim çalındı muhattap olabileceğim birisi yok uzak durun,1,ratings
Uygulamanız çok kötü sıfır puan veriyorum. .ekranıma istemeden sürekli resim geliyor,1,ratings
İğrenç bir uygulama istediğini yazıyorsun mesala dondurma yaziyon dondurma kapları çıkıyor,1,ratings
"Beğenmedim, çok karmaşık olmuş. Satıcıya sorum iletilmiyor. Siparişle ilgiliymiş detay sayfasından olacakmış. Orada soru sormak için yazacak yer yok. Niyetiniz müşteri mi oyalamak yoksa yardımcı mı olmak??!",1,ratings
Çok iğrenç bir sitesiniz ayın 14 ünde sipariş verdim hala elime geçmedi kargo firması hiç aldırış etmiyor zaten,1,ratings
İlk etapda mükemmeldi çok sık alışveriş yapıyordum fakat fiyatlar çok yükseldi,1,ratings
Uygulama iğrenç bi ürün aldım geri iade etmek istedim iadem kabul olamadı şu an ürünü napcam bilmiyorum ürün aşırı kalitesiz resimdeki gibi değil. boş verin hiç kendinizi kandırmayın nolcak bişey olmaz diye bende kendimi kandırdım sonucu bu alcanız şeyi çarşıdan alın daha iyi yada kendiniz yapın emek daha önemli yaptırın internete güven olmaz bunu asla unutmayın,1,ratings
Dolandırıcı olduğunuzu heryere yazıcam!,1,ratings
Dolandırıcı,1,ratings
Yalan atıyor,1,ratings
5 kuruşa yaramiyor,1,ratings
Kötü çok kötü,1,ratings
